Name,Age,Gender,Height_cm,Weight_kg,Fitness_Goals,Fitness_Level,Days_Available,Time_per_Session_mins,Exercise_Preferences,Gym_Equipment,plan
Sarah,28,Male,168,67,Lose weight and improve overall fitness,Advanced,3 days a week,49,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
David,34,Female,171,60,Maintain overall health and well-being,Advanced,5 days a week,36,"Varied, including strength and cardio",Full gym access,1
Michael,28,Female,167,69,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,57,"Cardio, running, cycling","Stationary bike, treadmill",1
Sarah,30,Male,173,67,Lose weight and improve overall fitness,Advanced,3 days a week,48,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Emily,30,Female,166,62,Enhance flexibility and reduce stress,Beginner,3 days a week,39,Yoga and Pilates,"Yoga mat, resistance bands",1
David,34,Male,175,70,Maintain overall health and well-being,Intermediate,3 days a week,57,"Varied, including strength and cardio",Full gym access,1
John,29,Male,170,77,Build muscle and increase strength,Advanced,3 days a week,69,"Free weights, compound exercises","Bench press, squat rack",1
Sarah,29,Male,170,80,Build muscle and increase strength,Advanced,3 days a week,75,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
John,32,Male,176,90,Build muscle and increase strength,Advanced,3 days a week,90,"Free weights, compound exercises","Bench press, squat rack",2
Emily,37,Male,184,80,Enhance flexibility and reduce stress,Intermediate,3 days a week,75,Yoga and Pilates,"Yoga mat, resistance bands",1
John,28,Male,170,74,Build muscle and increase strength,Advanced,3 days a week,60,"Free weights, compound exercises","Bench press, squat rack",2
Sarah,25,Female,160,55,Lose weight and improve overall fitness,Advanced,3 days a week,30,"Free weights, compound exercises","Bench press, squat rack",1
Michael,32,Male,172,72,Gain endurance and boost cardiovascular health,Beginner,5 days a week,55,"Cardio, running, cycling","Stationary bike, treadmill",1
Michael,32,Male,173,67,Gain endurance and boost cardiovascular health,Advanced,3 days a week,48,"Cardio, running, cycling","Stationary bike, treadmill",2
David,32,Female,168,65,Maintain overall health and well-being,Advanced,3 days a week,46,"Varied, including strength and cardio",Full gym access,1
David,31,Female,170,65,Enhance flexibility and reduce stress,Intermediate,3 days a week,47,Yoga and Pilates,"Yoga mat, resistance bands",1
Emily,40,Male,185,90,Enhance flexibility and reduce stress,Intermediate,5 days a week,90,Yoga and Pilates,"Yoga mat, resistance bands",2
John,28,Male,172,72,Build muscle and increase strength,Advanced,3 days a week,57,"Free weights, compound exercises","Bench press, squat rack",1
Sarah,29,Male,169,72,Lose weight and improve overall fitness,Advanced,3 days a week,58,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Emily,35,Male,177,80,Enhance flexibility and reduce stress,Advanced,3 days a week,73,Yoga and Pilates,"Yoga mat, resistance bands",1
Michael,33,Male,175,76,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,66,"Cardio, running, cycling","Stationary bike, treadmill",2
Emily,33,Male,175,74,Enhance flexibility and reduce stress,Intermediate,3 days a week,64,Yoga and Pilates,"Yoga mat, resistance bands",2
Sarah,38,Male,185,90,Lose weight and improve overall fitness,Advanced,5 days a week,90,"Cardio, running, cycling","Treadmill, resistance bands",1
Sarah,31,Male,175,63,Lose weight and improve overall fitness,Intermediate,3 days a week,41,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Michael,34,Male,180,81,Lose weight and improve overall fitness,Intermediate,3 days a week,80,"Cardio, running, cycling","Stationary bike, treadmill",1
Michael,37,Male,185,81,Lose weight and improve overall fitness,Intermediate,3 days a week,76,"Cardio, running, cycling","Stationary bike, treadmill",1
Michael,27,Female,162,63,Gain endurance and boost cardiovascular health,Beginner,3 days a week,38,"Cardio, running, cycling","Treadmill, resistance bands",2
Emily,37,Male,182,83,Enhance flexibility and reduce stress,Advanced,5 days a week,78,Yoga and Pilates,"Yoga mat, resistance bands",1
David,38,Male,181,80,Maintain overall health and well-being,Advanced,5 days a week,71,"Varied, including strength and cardio",Full gym access,1
Michael,25,Female,160,55,Gain endurance and boost cardiovascular health,Advanced,3 days a week,30,"Cardio, running, cycling","Stationary bike, treadmill",1
David,32,Female,171,63,Maintain overall health and well-being,Advanced,3 days a week,41,Yoga and Pilates,"Yoga mat, resistance bands",1
Sarah,25,Female,160,57,Lose weight and improve overall fitness,Advanced,3 days a week,34,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
Emily,29,Female,166,71,Gain endurance and boost cardiovascular health,Beginner,3 days a week,55,"Cardio, running, cycling","Stationary bike, treadmill",2
Emily,31,Male,171,67,Enhance flexibility and reduce stress,Advanced,3 days a week,50,Yoga and Pilates,"Yoga mat, resistance bands",2
Michael,34,Male,177,76,Gain endurance and boost cardiovascular health,Advanced,3 days a week,66,"Cardio, running, cycling","Stationary bike, treadmill",2
David,38,Male,180,77,Maintain overall health and well-being,Intermediate,3 days a week,69,"Varied, including strength and cardio",Full gym access,1
John,25,Female,161,56,Build muscle and increase strength,Advanced,3 days a week,31,"Free weights, compound exercises","Bench press, squat rack",1
Emily,38,Male,183,90,Enhance flexibility and reduce stress,Advanced,5 days a week,90,Yoga and Pilates,"Yoga mat, resistance bands",1
Michael,25,Female,163,55,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,30,Cardio and bodyweight exercises,"Stationary bike, treadmill",1
David,35,Female,174,74,Maintain overall health and well-being,Advanced,5 days a week,60,"Varied, including strength and cardio",Full gym access,2
Emily,35,Male,180,77,Enhance flexibility and reduce stress,Intermediate,3 days a week,69,Yoga and Pilates,"Yoga mat, resistance bands",2
Emily,29,Female,166,66,Gain endurance and boost cardiovascular health,Advanced,3 days a week,48,"Cardio, running, cycling","Stationary bike, treadmill",1
Emily,34,Male,175,68,Enhance flexibility and reduce stress,Advanced,3 days a week,51,Yoga and Pilates,"Yoga mat, resistance bands",1
Michael,34,Male,180,80,Lose weight and improve overall fitness,Intermediate,3 days a week,71,"Cardio, running, cycling","Treadmill, resistance bands",1
John,29,Male,175,69,Build muscle and increase strength,Intermediate,3 days a week,55,"Free weights, compound exercises","Bench press, squat rack",1
David,34,Female,174,81,Enhance flexibility and reduce stress,Advanced,5 days a week,74,Yoga and Pilates,"Yoga mat, resistance bands",1
David,36,Male,176,74,Maintain overall health and well-being,Advanced,5 days a week,59,"Varied, including strength and cardio",Full gym access,1
Sarah,26,Female,164,63,Lose weight and improve overall fitness,Advanced,3 days a week,43,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Emily,33,Male,173,68,Enhance flexibility and reduce stress,Advanced,3 days a week,50,Yoga and Pilates,"Yoga mat, resistance bands",1
Michael,32,Female,171,82,Gain endurance and boost cardiovascular health,Beginner,5 days a week,76,"Cardio, running, cycling","Stationary bike, treadmill",2
John,30,Male,175,79,Build muscle and increase strength,Advanced,3 days a week,70,"Free weights, compound exercises","Bench press, squat rack",1
Emily,29,Female,165,64,Enhance flexibility and reduce stress,Advanced,3 days a week,43,Yoga and Pilates,"Yoga mat, resistance bands",1
Sarah,34,Male,179,84,Lose weight and improve overall fitness,Advanced,3 days a week,79,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
John,25,Female,160,69,Build muscle and increase strength,Beginner,3 days a week,51,"Free weights, compound exercises","Bench press, squat rack",1
Michael,31,Female,170,75,Gain endurance and boost cardiovascular health,Advanced,3 days a week,63,"Cardio, running, cycling","Stationary bike, treadmill",2
Emily,33,Male,174,69,Enhance flexibility and reduce stress,Advanced,3 days a week,53,Yoga and Pilates,"Yoga mat, resistance bands",1
David,35,Male,176,77,Maintain overall health and well-being,Beginner,5 days a week,64,"Varied, including strength and cardio","Yoga mat, resistance bands",1
John,32,Male,177,84,Build muscle and increase strength,Advanced,3 days a week,81,"Free weights, compound exercises","Bench press, squat rack",2
Emily,32,Female,171,71,Enhance flexibility and reduce stress,Advanced,5 days a week,53,Yoga and Pilates,"Yoga mat, resistance bands",1
David,40,Male,185,90,Maintain overall health and well-being,Beginner,5 days a week,89,"Varied, including strength and cardio",Full gym access,2
John,25,Female,163,66,Build muscle and increase strength,Advanced,3 days a week,45,"Free weights, compound exercises","Bench press, squat rack",2
John,31,Male,175,87,Build muscle and increase strength,Advanced,3 days a week,87,"Free weights, compound exercises","Bench press, squat rack",1
John,31,Male,175,82,Build muscle and increase strength,Advanced,3 days a week,78,"Free weights, compound exercises","Bench press, squat rack",2
Sarah,25,Female,160,55,Lose weight and improve overall fitness,Advanced,3 days a week,30,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Sarah,29,Male,169,74,Lose weight and improve overall fitness,Advanced,3 days a week,61,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
David,37,Female,176,74,Maintain overall health and well-being,Advanced,5 days a week,60,"Varied, including strength and cardio",Full gym access,2
Sarah,30,Male,173,73,Build muscle and increase strength,Intermediate,3 days a week,61,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
Sarah,28,Male,169,65,Lose weight and improve overall fitness,Intermediate,3 days a week,47,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
Emily,27,Female,163,63,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,45,"Cardio, running, cycling","Stationary bike, treadmill",1
David,40,Male,185,90,Maintain overall health and well-being,Intermediate,5 days a week,89,"Varied, including strength and cardio",Full gym access,2
David,30,Female,167,60,Enhance flexibility and reduce stress,Intermediate,3 days a week,37,Yoga and Pilates,"Yoga mat, resistance bands",2
John,31,Male,177,78,Build muscle and increase strength,Advanced,3 days a week,67,"Free weights, compound exercises","Bench press, squat rack",2
David,32,Female,172,66,Maintain overall health and well-being,Intermediate,3 days a week,48,Yoga and Pilates,"Yoga mat, resistance bands",2
John,32,Male,180,90,Build muscle and increase strength,Advanced,3 days a week,90,"Free weights, compound exercises","Bench press, squat rack",1
David,32,Female,169,65,Maintain overall health and well-being,Advanced,3 days a week,45,"Varied, including strength and cardio",Full gym access,2
Michael,30,Female,169,69,Gain endurance and boost cardiovascular health,Advanced,3 days a week,51,"Cardio, running, cycling","Stationary bike, treadmill",1
Sarah,25,Female,160,55,Lose weight and improve overall fitness,Advanced,3 days a week,30,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Sarah,29,Female,166,80,Lose weight and improve overall fitness,Beginner,3 days a week,72,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
Emily,39,Male,185,90,Enhance flexibility and reduce stress,Advanced,5 days a week,90,Yoga and Pilates,"Yoga mat, resistance bands",1
Emily,31,Male,170,62,Enhance flexibility and reduce stress,Advanced,3 days a week,37,"Cardio, running, cycling","Stationary bike, treadmill",2
Michael,30,Male,172,69,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,54,"Cardio, running, cycling","Stationary bike, treadmill",2
Sarah,25,Female,160,55,Build muscle and increase strength,Intermediate,3 days a week,30,"Free weights, compound exercises","Bench press, squat rack",2
Sarah,25,Female,164,64,Build muscle and increase strength,Intermediate,3 days a week,47,"Free weights, compound exercises","Bench press, squat rack",1
Sarah,29,Male,172,68,Lose weight and improve overall fitness,Intermediate,3 days a week,53,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Emily,25,Female,160,55,Enhance flexibility and reduce stress,Beginner,3 days a week,30,"Cardio, running, cycling","Stationary bike, treadmill",2
Emily,34,Male,177,72,Enhance flexibility and reduce stress,Intermediate,3 days a week,59,Yoga and Pilates,"Yoga mat, resistance bands",1
Michael,30,Male,169,66,Gain endurance and boost cardiovascular health,Advanced,3 days a week,46,"Cardio, running, cycling","Stationary bike, treadmill",1
David,35,Male,179,69,Enhance flexibility and reduce stress,Intermediate,3 days a week,54,Yoga and Pilates,Full gym access,1
David,35,Female,172,71,Maintain overall health and well-being,Advanced,3 days a week,58,"Varied, including strength and cardio",Full gym access,1
Sarah,33,Male,177,88,Lose weight and improve overall fitness,Advanced,3 days a week,88,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
David,38,Male,184,82,Maintain overall health and well-being,Intermediate,3 days a week,79,"Varied, including strength and cardio",Full gym access,2
Michael,34,Male,179,84,Lose weight and improve overall fitness,Advanced,3 days a week,79,"Cardio, running, cycling","Treadmill, resistance bands",2
Sarah,35,Male,182,90,Build muscle and increase strength,Advanced,5 days a week,90,Cardio and bodyweight exercises,"Bench press, squat rack",1
John,25,Female,160,65,Build muscle and increase strength,Beginner,3 days a week,48,"Free weights, compound exercises","Bench press, squat rack",1
Michael,35,Male,180,79,Gain endurance and boost cardiovascular health,Advanced,5 days a week,70,"Cardio, running, cycling","Stationary bike, treadmill",2
Sarah,31,Male,174,73,Lose weight and improve overall fitness,Advanced,3 days a week,58,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Michael,34,Male,179,70,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,56,"Cardio, running, cycling","Stationary bike, treadmill",1
Emily,30,Male,170,61,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,39,"Cardio, running, cycling","Stationary bike, treadmill",2
Sarah,38,Male,185,90,Lose weight and improve overall fitness,Intermediate,3 days a week,90,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
Sarah,34,Male,183,81,Build muscle and increase strength,Intermediate,3 days a week,75,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Sarah,32,Male,175,73,Gain endurance and boost cardiovascular health,Advanced,5 days a week,56,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
John,31,Male,177,81,Build muscle and increase strength,Intermediate,3 days a week,75,"Free weights, compound exercises","Bench press, squat rack",2
Michael,31,Female,169,74,Gain endurance and boost cardiovascular health,Beginner,3 days a week,60,"Cardio, running, cycling","Stationary bike, treadmill",2
Emily,34,Male,176,72,Enhance flexibility and reduce stress,Advanced,3 days a week,57,Yoga and Pilates,"Yoga mat, resistance bands",1
Michael,31,Male,171,75,Gain endurance and boost cardiovascular health,Beginner,3 days a week,61,"Cardio, running, cycling","Treadmill, resistance bands",1
Michael,37,Male,184,79,Enhance flexibility and reduce stress,Advanced,5 days a week,65,"Cardio, running, cycling","Stationary bike, treadmill",1
Emily,32,Female,171,63,Maintain overall health and well-being,Advanced,3 days a week,40,Yoga and Pilates,"Yoga mat, resistance bands",2
Michael,32,Male,174,79,Gain endurance and boost cardiovascular health,Advanced,3 days a week,70,"Cardio, running, cycling","Treadmill, resistance bands",1
John,33,Male,180,90,Build muscle and increase strength,Advanced,3 days a week,90,"Free weights, compound exercises","Bench press, squat rack",1
Michael,35,Male,184,76,Lose weight and improve overall fitness,Intermediate,3 days a week,68,"Cardio, running, cycling","Stationary bike, treadmill",2
David,36,Female,176,80,Maintain overall health and well-being,Advanced,3 days a week,75,"Varied, including strength and cardio",Full gym access,1
David,32,Female,171,63,Maintain overall health and well-being,Advanced,3 days a week,40,Yoga and Pilates,"Yoga mat, resistance bands",1
Sarah,25,Female,162,69,Lose weight and improve overall fitness,Advanced,3 days a week,53,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Sarah,25,Female,160,60,Build muscle and increase strength,Intermediate,3 days a week,41,"Free weights, compound exercises","Bench press, squat rack",1
David,40,Male,185,79,Maintain overall health and well-being,Intermediate,5 days a week,69,"Varied, including strength and cardio",Full gym access,2
John,25,Male,164,68,Build muscle and increase strength,Advanced,3 days a week,52,"Free weights, compound exercises","Bench press, squat rack",1
John,25,Male,165,64,Build muscle and increase strength,Advanced,3 days a week,42,"Free weights, compound exercises","Bench press, squat rack",2
Michael,29,Female,167,67,Gain endurance and boost cardiovascular health,Advanced,3 days a week,50,"Cardio, running, cycling","Stationary bike, treadmill",1
John,28,Male,170,78,Build muscle and increase strength,Advanced,3 days a week,70,"Free weights, compound exercises","Bench press, squat rack",1
Sarah,28,Female,167,73,Lose weight and improve overall fitness,Beginner,3 days a week,57,Cardio and bodyweight exercises,"Bench press, squat rack",2
Michael,28,Female,166,64,Gain endurance and boost cardiovascular health,Beginner,3 days a week,41,"Cardio, running, cycling","Treadmill, resistance bands",1
Emily,39,Male,185,90,Enhance flexibility and reduce stress,Advanced,5 days a week,90,Yoga and Pilates,"Yoga mat, resistance bands",2
David,37,Male,180,76,Maintain overall health and well-being,Intermediate,3 days a week,67,"Varied, including strength and cardio",Full gym access,1
Emily,34,Male,175,80,Enhance flexibility and reduce stress,Advanced,3 days a week,72,Yoga and Pilates,"Yoga mat, resistance bands",2
David,37,Male,182,77,Maintain overall health and well-being,Intermediate,5 days a week,66,"Varied, including strength and cardio",Full gym access,1
Michael,28,Female,165,67,Gain endurance and boost cardiovascular health,Advanced,3 days a week,49,"Cardio, running, cycling","Stationary bike, treadmill",1
Michael,39,Male,185,90,Lose weight and improve overall fitness,Intermediate,3 days a week,90,"Cardio, running, cycling","Stationary bike, treadmill",2
Sarah,35,Male,181,82,Lose weight and improve overall fitness,Intermediate,3 days a week,77,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Emily,31,Male,172,64,Enhance flexibility and reduce stress,Advanced,3 days a week,43,"Cardio, running, cycling","Stationary bike, treadmill",1
Sarah,26,Female,166,65,Build muscle and increase strength,Intermediate,3 days a week,51,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Michael,34,Male,179,74,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,64,"Cardio, running, cycling","Stationary bike, treadmill",1
Sarah,32,Male,178,82,Build muscle and increase strength,Intermediate,3 days a week,78,"Free weights, compound exercises","Treadmill, resistance bands",1
Michael,36,Male,181,87,Gain endurance and boost cardiovascular health,Advanced,5 days a week,82,"Cardio, running, cycling","Stationary bike, treadmill",1
Michael,28,Female,167,74,Lose weight and improve overall fitness,Advanced,3 days a week,65,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
Sarah,35,Male,185,90,Build muscle and increase strength,Intermediate,3 days a week,90,"Free weights, compound exercises","Treadmill, resistance bands",1
Sarah,29,Male,170,69,Lose weight and improve overall fitness,Advanced,3 days a week,53,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
David,34,Male,175,71,Maintain overall health and well-being,Intermediate,3 days a week,57,"Varied, including strength and cardio",Full gym access,1
John,25,Female,162,61,Build muscle and increase strength,Advanced,3 days a week,39,"Free weights, compound exercises","Bench press, squat rack",2
Michael,25,Female,160,55,Gain endurance and boost cardiovascular health,Advanced,3 days a week,30,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
David,32,Female,168,71,Maintain overall health and well-being,Beginner,5 days a week,54,Yoga and Pilates,"Yoga mat, resistance bands",2
Emily,27,Female,163,55,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,30,"Cardio, running, cycling","Stationary bike, treadmill",1
David,29,Female,160,55,Maintain overall health and well-being,Beginner,3 days a week,30,"Varied, including strength and cardio",Full gym access,1
Emily,35,Male,175,74,Enhance flexibility and reduce stress,Advanced,5 days a week,59,Yoga and Pilates,"Yoga mat, resistance bands",1
Michael,37,Male,184,90,Gain endurance and boost cardiovascular health,Advanced,5 days a week,87,"Cardio, running, cycling","Treadmill, resistance bands",1
Michael,30,Male,171,64,Lose weight and improve overall fitness,Intermediate,3 days a week,45,Cardio and bodyweight exercises,"Stationary bike, treadmill",1
Michael,36,Male,183,81,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,77,"Cardio, running, cycling","Stationary bike, treadmill",1
Emily,37,Male,181,86,Enhance flexibility and reduce stress,Beginner,5 days a week,80,Yoga and Pilates,"Yoga mat, resistance bands",1
John,35,Male,184,86,Build muscle and increase strength,Intermediate,3 days a week,85,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
Michael,28,Female,166,67,Gain endurance and boost cardiovascular health,Advanced,3 days a week,48,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
Emily,34,Male,175,80,Enhance flexibility and reduce stress,Advanced,5 days a week,71,Yoga and Pilates,"Yoga mat, resistance bands",1
David,38,Male,182,85,Maintain overall health and well-being,Intermediate,3 days a week,85,"Varied, including strength and cardio",Full gym access,1
Michael,28,Male,168,60,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,39,"Cardio, running, cycling","Stationary bike, treadmill",2
Sarah,26,Female,163,70,Build muscle and increase strength,Intermediate,3 days a week,59,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
Sarah,30,Male,173,85,Build muscle and increase strength,Advanced,3 days a week,85,"Free weights, compound exercises","Bench press, squat rack",2
Sarah,27,Female,165,68,Lose weight and improve overall fitness,Advanced,3 days a week,53,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
John,30,Male,173,84,Build muscle and increase strength,Beginner,3 days a week,77,"Free weights, compound exercises","Bench press, squat rack",2
Michael,34,Male,177,66,Enhance flexibility and reduce stress,Advanced,5 days a week,43,Yoga and Pilates,"Stationary bike, treadmill",1
John,30,Male,173,71,Build muscle and increase strength,Advanced,3 days a week,53,"Free weights, compound exercises","Bench press, squat rack",2
Sarah,30,Male,172,80,Build muscle and increase strength,Intermediate,3 days a week,76,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
Michael,30,Male,170,63,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,42,"Cardio, running, cycling","Stationary bike, treadmill",2
Michael,40,Male,185,90,Gain endurance and boost cardiovascular health,Intermediate,5 days a week,90,"Cardio, running, cycling","Stationary bike, treadmill",1
Michael,36,Male,181,87,Gain endurance and boost cardiovascular health,Advanced,5 days a week,84,"Cardio, running, cycling","Stationary bike, treadmill",2
Sarah,28,Male,169,71,Build muscle and increase strength,Advanced,3 days a week,57,"Free weights, compound exercises","Bench press, squat rack",2
Michael,29,Male,170,68,Lose weight and improve overall fitness,Intermediate,3 days a week,55,Cardio and bodyweight exercises,"Stationary bike, treadmill",1
Michael,35,Male,178,84,Gain endurance and boost cardiovascular health,Beginner,5 days a week,76,"Cardio, running, cycling","Treadmill, resistance bands",2
Michael,33,Male,178,76,Lose weight and improve overall fitness,Intermediate,3 days a week,65,"Cardio, running, cycling","Stationary bike, treadmill",1
Michael,35,Male,182,77,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,68,"Cardio, running, cycling","Stationary bike, treadmill",2
Emily,40,Male,185,87,Enhance flexibility and reduce stress,Intermediate,5 days a week,84,Yoga and Pilates,"Yoga mat, resistance bands",2
Sarah,32,Male,175,74,Lose weight and improve overall fitness,Advanced,3 days a week,60,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
David,39,Male,184,75,Maintain overall health and well-being,Intermediate,5 days a week,62,"Varied, including strength and cardio",Full gym access,1
Emily,32,Female,170,79,Enhance flexibility and reduce stress,Advanced,3 days a week,72,Yoga and Pilates,"Yoga mat, resistance bands",2
John,30,Male,175,73,Build muscle and increase strength,Advanced,3 days a week,59,"Free weights, compound exercises","Bench press, squat rack",1
John,25,Female,162,63,Build muscle and increase strength,Intermediate,3 days a week,45,"Free weights, compound exercises","Bench press, squat rack",2
John,29,Male,171,74,Build muscle and increase strength,Advanced,3 days a week,63,"Free weights, compound exercises","Bench press, squat rack",2
David,39,Male,184,79,Maintain overall health and well-being,Intermediate,5 days a week,70,"Varied, including strength and cardio",Full gym access,2
John,31,Male,176,73,Build muscle and increase strength,Intermediate,3 days a week,60,"Free weights, compound exercises","Bench press, squat rack",1
Sarah,39,Male,185,90,Lose weight and improve overall fitness,Advanced,5 days a week,90,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Emily,40,Male,185,90,Enhance flexibility and reduce stress,Intermediate,5 days a week,90,Yoga and Pilates,"Yoga mat, resistance bands",2
John,25,Female,164,71,Build muscle and increase strength,Intermediate,3 days a week,60,"Free weights, compound exercises","Bench press, squat rack",1
David,38,Male,181,88,Maintain overall health and well-being,Advanced,5 days a week,86,"Varied, including strength and cardio",Full gym access,1
Michael,36,Male,183,87,Lose weight and improve overall fitness,Intermediate,3 days a week,86,"Cardio, running, cycling","Stationary bike, treadmill",2
Michael,29,Male,170,67,Lose weight and improve overall fitness,Intermediate,3 days a week,50,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
Emily,35,Male,180,78,Enhance flexibility and reduce stress,Advanced,3 days a week,67,Yoga and Pilates,"Stationary bike, treadmill",1
John,31,Male,180,86,Build muscle and increase strength,Advanced,3 days a week,83,"Free weights, compound exercises","Bench press, squat rack",1
David,38,Male,178,83,Maintain overall health and well-being,Advanced,5 days a week,77,"Varied, including strength and cardio",Full gym access,1
Michael,26,Female,162,64,Gain endurance and boost cardiovascular health,Advanced,3 days a week,45,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Emily,36,Male,183,75,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,63,Yoga and Pilates,"Yoga mat, resistance bands",1
David,39,Male,182,80,Maintain overall health and well-being,Intermediate,5 days a week,74,"Varied, including strength and cardio",Full gym access,1
Michael,25,Female,160,58,Lose weight and improve overall fitness,Advanced,3 days a week,35,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Sarah,31,Male,175,80,Lose weight and improve overall fitness,Intermediate,3 days a week,75,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
David,33,Female,171,71,Maintain overall health and well-being,Advanced,3 days a week,56,"Varied, including strength and cardio",Full gym access,2
David,36,Male,178,76,Maintain overall health and well-being,Intermediate,3 days a week,67,"Varied, including strength and cardio",Full gym access,1
David,38,Male,182,77,Maintain overall health and well-being,Advanced,5 days a week,62,"Varied, including strength and cardio","Yoga mat, resistance bands",1
Sarah,35,Male,182,83,Lose weight and improve overall fitness,Intermediate,3 days a week,78,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Sarah,37,Male,185,90,Build muscle and increase strength,Intermediate,3 days a week,90,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Emily,32,Male,173,69,Enhance flexibility and reduce stress,Advanced,3 days a week,53,Yoga and Pilates,"Yoga mat, resistance bands",1
John,28,Male,171,71,Build muscle and increase strength,Intermediate,3 days a week,57,"Free weights, compound exercises","Bench press, squat rack",1
John,28,Male,171,78,Build muscle and increase strength,Advanced,3 days a week,71,"Free weights, compound exercises","Bench press, squat rack",2
John,31,Male,176,87,Build muscle and increase strength,Advanced,3 days a week,87,"Free weights, compound exercises","Bench press, squat rack",1
Michael,35,Male,179,90,Lose weight and improve overall fitness,Advanced,5 days a week,90,"Cardio, running, cycling","Stationary bike, treadmill",2
Michael,31,Male,175,76,Lose weight and improve overall fitness,Intermediate,3 days a week,70,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
David,33,Female,169,68,Maintain overall health and well-being,Beginner,5 days a week,48,"Varied, including strength and cardio",Full gym access,2
Emily,28,Female,163,59,Enhance flexibility and reduce stress,Advanced,3 days a week,35,Yoga and Pilates,"Yoga mat, resistance bands",1
Emily,31,Male,171,61,Enhance flexibility and reduce stress,Intermediate,3 days a week,41,Yoga and Pilates,"Yoga mat, resistance bands",1
John,27,Male,168,69,Build muscle and increase strength,Advanced,3 days a week,50,"Free weights, compound exercises","Bench press, squat rack",2
Emily,30,Female,168,74,Enhance flexibility and reduce stress,Advanced,3 days a week,63,"Cardio, running, cycling","Stationary bike, treadmill",1
Emily,33,Male,176,67,Enhance flexibility and reduce stress,Intermediate,3 days a week,50,Yoga and Pilates,"Yoga mat, resistance bands",1
Michael,35,Male,179,81,Gain endurance and boost cardiovascular health,Advanced,3 days a week,73,"Cardio, running, cycling","Stationary bike, treadmill",2
Emily,31,Male,172,68,Enhance flexibility and reduce stress,Intermediate,3 days a week,53,Yoga and Pilates,"Yoga mat, resistance bands",1
David,38,Male,182,82,Maintain overall health and well-being,Advanced,5 days a week,76,"Varied, including strength and cardio",Full gym access,2
Sarah,31,Male,173,83,Lose weight and improve overall fitness,Advanced,3 days a week,78,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
John,25,Female,162,61,Build muscle and increase strength,Advanced,3 days a week,40,"Free weights, compound exercises","Bench press, squat rack",2
Michael,40,Male,185,90,Lose weight and improve overall fitness,Intermediate,5 days a week,90,"Cardio, running, cycling","Stationary bike, treadmill",2
